,name,cuisine,latitude,longitude,address,rating,review_count,price
510,The Wall,japanese,1.27661,103.84406,"76 Tanjong Pagar Rd, Singapore 088497, Singapore",5,1,$$$
511,Dashi Master Marusaya,japanese,1.290095197,103.8371119,"86 Robertson Quay, #01-01, Singapore 238245, Singapore",4,2,$$$
512,Tomi Sushi,japanese,1.319782,103.843661,"238 Thomson Rd, #02-76/77, Singapore 307683, Singapore",4,19,$$$
513,Nagae,japanese,1.29041,103.8350296,"392 Havelock Road, Singapore 169663, Singapore",4,7,$$$
514,Fish Mart Sakuraya,japanese,1.289252651,103.8055507,"370A Alexandra Road, Singapore 159954, Singapore",4.5,4,$$$
515,Bincho at Hua Bee,japanese,1.283741,103.8304062,"78 Moh Guan Terrace, #01-19, Singapore 162078, Singapore",4,15,$$$
516,SushiAirways Sushibar,japanese,1.30117,103.8597336,"20A Baghdad Street, Singapore 199659, Singapore",3.5,7,$$$
517,Sushi Jin,japanese,1.31212,103.8541565,"1 Farrer Park Station Road, #01-11/12, Owen Link, Singapore 217562, Singapore",4,8,$$$
518,Rocku Yakiniku Japanese Charcoal Grill,japanese,1.299629,103.854302,"201 Victoria Street, #04-06 Bugis Plus, Singapore 188067, Singapore",1.5,5,$$$
519,Teng Bespoke Japanese Vegetarian Dining,japanese,1.30054,103.85103,"91 Bencoolen Street, #01-50, Singapore 189652, Singapore",4.5,13,$$$
520,Tsukada Nojo,japanese,1.299821,103.845445,"68 Orchard Rd, #03-81, Singapore 238891, Singapore",4,18,$$$
521,Gyu-Kaku,japanese,1.319721568,103.8437662,"238 Thomson Road, #02-46, Novena Square, Singapore 307683, Singapore",4,6,$$$
522,Tenshin,japanese,1.3046549,103.8249313,"1 Cusaden Rd, #03-01, Singapore 249715, Singapore",4.5,4,$$$
523,Coq & Balls,japanese,1.2852519,103.8292453,"6 Kim Tian Rd, Kai Fook Mansion, Singapore 169246, Singapore",4,13,$$$
524,Himonoya,japanese,1.291983242,103.8413839,"11 Unity St, #02-14, Robertson walk, Singapore, Singapore",4,1,$$$
525,Sushi Kou,japanese,1.276993,103.843891,"1 Tras Link, #01-16, Singapore 078867, Singapore",5,4,$$$
526,Kazu Sumiyaki,japanese,1.302,103.8407211,"5 Koek Rd, Singapore 228796, Singapore",4.5,19,$$$
527,Syun,japanese,1.256752,103.820331,"8 Sentosa Gateway, Festive Walk RWS, Sentosa Island, Southern Islands 098269, Singapore",4,5,$$$
528,Ginza Kuroson,japanese,1.291280723,103.8414423,"30 Robertson Quay, Singapore 238251, Singapore",3.5,7,$$$
529,The Courtyard,japanese,1.2862,103.85298,"1 Fullerton Square, Singapore 049178, Singapore",4,7,$$$
530,Tonkichi,japanese,1.30111,103.8394699,"181 Orchard Rd, # 07-06 Orchard Central, Singapore 238896, Singapore",3.5,4,$$$
531,Bijin Nabe By Tsukada Nojo,japanese,1.291759993,103.8445347,"177 River Valley Rd, #B1-03/04/05, Singapore 179030, Singapore",4,6,$$$
532,Horse's Mouth,japanese,1.306690495,103.8286174,"583 Orchard Road, #B1-39, Singapore 238884, Singapore",4,23,$$$
533,Ishinomaki Grill And Sake,japanese,1.306432274,103.8296795,"390 Orchard Rd, B1-2/02A/03, Singapore 238871, Singapore",4,3,$$$
534,Azmaya,japanese,1.291138,103.841143,"30 Robertson Quay, #01-12/13, Riverside View, Singapore 238251, Singapore",3,6,$$$
535,Himawari Japanese Restaurant,japanese,1.2747101,103.8021393,"991B Alexandra Road, #01-08/09, Singapore 119970, Singapore",4,4,$$$
536,Gyu Kaku Japanese BBQ,japanese,1.29217,103.8426666,"UE Square, 81 Clemenceau Avenue, #01-18/19, Singapore 239917, Singapore",4,5,$$$
537,Nobu-ya,japanese,1.30044,103.85225,"190 Middle Rd, Fortune Centre, Singapore 188979, Singapore",3,12,$$$
538,Yamagawa Japanese Restaurant,japanese,1.30011,103.8606415,"7500A Beach Rd, #01-305 The Plaza, Singapore 199591, Singapore",4,5,$$$
539,Ginzawa,japanese,1.3066061,103.8295614,"390 Orchard Road, #01-07 Palais Renaissance, Singapore 238871, Singapore",4,3,$$$
540,Shabu Shabu Tajimaya,japanese,1.30379,103.83319,"435 Orchard Rd, Wisma Atria Level 4, Japanese Food Town, Singapore 238877, Singapore",4.5,4,$$$
541,Ryo Sushi,japanese,1.27686,103.84387,"1 Tras Link, #01-06, Singapore 078867, Singapore",4.5,6,$$$
542,Tomi Sushi,japanese,1.304204017,103.9028034,"30 East Coast Road, #02-14/15/16 Katong V, Singapore 428751, Singapore",4,5,$$$
543,Katanashi An,japanese,1.281585845,103.8476903,"1 Boon Tat Street, #01-01, Singapore 069611, Singapore",4,7,$$$
544,Nara Japanese Restaurant,japanese,1.318163,103.843934,"167 Thomson Rd, Goldhill Centre, Singapore 307619, Singapore",4,3,$$$
545,Wahiro Boutique Japanese,japanese,1.305026741,103.9040909,"Roxy Square, 50 East Coast Rd, #01-01, Singapore 428769, Singapore",3.5,10,$$$
546,Sakae Sushi,japanese,1.304279332,103.8409054,"Chevron House, 30 Raffles Place, #02-37, Singapore 048622, Singapore",2,1,$$$
547,The Public Izakaya By Hachi,japanese,1.274309495,103.8436229,"100 Tras St, #01-09, Singapore 079027, Singapore",3.5,10,$$$
548,Jin Fine Dining,japanese,1.282928,103.848734,"74 Telok Ayer St, # 01-02, Singapore 048464, Singapore",4.5,6,$$$
549,Azmaya Honten,japanese,1.302,103.84072,"5 Koek Road, #03-24 to 28 Cuppage Plaza, Singapore 228796, Singapore",3,4,$$$
550,Akashi Japanese Restaurant,japanese,1.30389,103.83583,"290 Orchard Rd, #B1-01/02, Singapore 238859, Singapore",2.5,9,$$$
551,Shin Kushiya,japanese,1.28394,103.8479691,"33 Pekin Street, Singapore 048763, Singapore",4.5,2,$$$
552,Shin Yuu Japanese Restaurant,japanese,1.3313031,103.8068598,"16 Greenwood Ave, Singapore 289209, Singapore",4.5,7,$$$
553,Kaiho Sushi,japanese,1.301349,103.8400574,"03-01 Cuppage Plz, Singapore 228796, Singapore",4,10,$$$
554,ichidon,japanese,1.2772797,103.8465299,"Maxwell Road 32, Singapore 069115, Singapore",3,1,$$$
555,Tonkatsu Ma Maison,japanese,1.3021,103.83665,"333A Orchard Rd, #02-35/36, Singapore 238897, Singapore",3.5,23,$$$
556,Irodori Japanese Restaurant,japanese,1.30004,103.8494568,"1 Selegie Road PoMo, #01-14/15, Singapore 188306, Singapore",2,1,$$$
557,Koji Sushi Bar - Pickering Branch,japanese,1.284466827,103.847114,"3 Pickering Street, #01-42, Singapore 048660, Singapore",4,6,$$$
558,Tomo Izakaya,japanese,1.29024,103.84541,"3A River Valley Rd, #01-04, Clarke Quay, Singapore 179020, Singapore",3.5,19,$$$
659,Jumbo Seafood,malay,1.288928737,103.8483739,"20 Upper Circular Road, #B1-48, Singapore 058416, Singapore",4,183,$$$
660,Yardbird Table & Bar,malay,1.2837366,103.8591923,"2 Bayfront Ave, #B1-07, Singapore 018972, Singapore",4.5,22,$$$
661,Coffee Lounge,malay,1.308435,103.833928,"22 Scotts Rd, Singapore 228221, Singapore",4.5,4,$$$
662,The Garden @ Sentosa,malay,1.243589023,103.8283539,"2 Bukit Manis Road, Sentosa, Singapore 099891, Singapore",5,2,$$$
663,Happy Crab,malay,1.3022323,103.8610412,"13 Pahang St, Singapore 198613, Singapore",4.5,11,$$$
664,Hana Hana,malay,1.276337245,103.8437165,"1 Tras Link, #01-17, Orchid Hotel, Singapore 078867, Singapore",4,4,$$$
665,The Naked Finn,malay,1.276325,103.804458,"39 Malan Rd, Singapore 109442, Singapore",4.5,19,$$$
666,Hai Di Lao,malay,1.289833,103.845535,"3D River Valley Rd, #02-04, Singapore 179023, Singapore",4,42,$$$
667,Cook & Brew,malay,1.278000852,103.8508256,"12 Marina View, 33rd Floor, Singapore 018961, Singapore",4,14,$$$
668,8 Korean BBQ,malay,1.288706978,103.8466714,"6 Eu Tong Sen Street, #02-70/90, Singapore 059817, Singapore",4,23,$$$
669,Salted & Hung,malay,1.296537233,103.8551941,"12 Purvis St, Singapore 188591, Singapore",4,13,$$$
670,National Kitchen By Violet Oon,malay,1.290618,103.851938,"""1 St Andrews Rd"", #02-01, Singapore 178957, Singapore",4.5,38,$$$
671,10 Scotts,malay,1.3064382,103.83333,"10 Scotts Rd, Lobby Level, Singapore 228211, Singapore",4,14,$$$
672,My Little Spanish Place,malay,1.28717,103.84925,"54 Boat Quay, Singapore 049843, Singapore",4,4,$$$
673,Sabio By The Sea,malay,1.24777,103.8419724,"31 Ocean Way, #01-02, Southern Islands 098367, Singapore",3.5,10,$$$
674,San Laksa Steamboat,malay,1.30988,103.85699,"147 Kitchener Road, Singapore 208524, Singapore",4,8,$$$
675,Paddy Hills,malay,1.28082,103.78702,"38 South Buona Vista Rd, Singapore 118164, Singapore",4,15,$$$
676,Zzapi,malay,1.316404553,103.8355207,"271 Bukit Timah Road, #01-04, Balmoral Plaza, Singapore 259708, Singapore",4,1,$$$
677,PS Cafe,malay,1.306809,103.829511,"390 Orchard Rd, #02-09A, Singapore 238871, Singapore",3.5,29,$$$
678,The Wall,malay,1.27661,103.84406,"76 Tanjong Pagar Rd, Singapore 088497, Singapore",5,1,$$$
679,Bigmama,malay,1.28527,103.829277,"2 Kim Tian Road, Singapore 169244, Singapore",4,17,$$$
680,Hansik Korean Restaurant,malay,1.358690114,103.8845953,"205 Hougang St 21, #02-00, Heartland Mall, Singapore 530205, Singapore",4,6,$$$
681,Antoinette,malay,1.30973,103.86219,"30 Penhas Road, Singapore 208188, Singapore",3.5,22,$$$
682,My Little Tapas Bar,malay,1.2812521,103.8455394,"14 Ann Siang Road, Singapore 069694, Singapore",4.5,8,$$$
683,Dashi Master Marusaya,malay,1.290095197,103.8371119,"86 Robertson Quay, #01-01, Singapore 238245, Singapore",4,2,$$$
684,Kantipur Tandoori,malay,1.3100899,103.8564301,"18 Verdun Road, #01-01 & 02-01, Singapore 207280, Singapore",4,1,$$$
685,Blu Kouzina,malay,1.30331,103.81041,"10 Dempsey Rd, #01-21, Dempsey Hill, Singapore 247700, Singapore",4.5,24,$$$
686,Tomi Sushi,malay,1.319782,103.843661,"238 Thomson Rd, #02-76/77, Singapore 307683, Singapore",4,19,$$$
687,Shabestan,malay,1.290909203,103.8404525,"80 Mohammed Sultan Rd, #01-13, The Pier at Robertson Quay, Singapore 239013, Singapore",4.5,21,$$$
688,Seoul Yummy,malay,1.304247912,103.831891,"ION Orchard, 2 Orchard Turn, #B2-22, Singapore 238801, Singapore",4,2,$$$
689,Wah Lok Cantonese Restaurant,malay,1.296078903,103.8525358,"76 Bras Basah Rd, Level 2, Singapore 189558, Singapore",4,17,$$$
690,Fine Palate Cafe,malay,1.29826,103.851181,"51 Waterloo Street, #01-04/05, Singapore 187969, Singapore",4.5,2,$$$
691,Nagae,malay,1.29041,103.8350296,"392 Havelock Road, Singapore 169663, Singapore",4,7,$$$
692,TWG Tea Salon & Boutique,malay,1.2835,103.85068,"9 Raffles Pl, #01-22, Republic Plaza, Singapore 048619, Singapore",4,4,$$$
693,Cin Cin,malay,1.275907433,103.8446534,"100 Peck Seah St, #01-02, Singapore 079333, Singapore",4,3,$$$
694,The Peranakan,malay,1.307166193,103.8286007,"442 Orchard Rd, #02-01, Orchard Hotel, Claymore Connect, Singapore 238879, Singapore",3,13,$$$
695,Fish Mart Sakuraya,malay,1.289252651,103.8055507,"370A Alexandra Road, Singapore 159954, Singapore",4.5,4,$$$
696,Hai Di Lao,malay,1.300373148,103.8380782,"313 Orchard Road, Level 4, 313@somerset, Singapore 238895, Singapore",4.5,15,$$$
697,Maharajah,malay,1.28657,103.84948,"41 Boat Quay, Singapore 049830, Singapore",4.5,9,$$$
698,Chao Shan Cuisine,malay,1.28437,103.84986,"17 Philip St, #01-01/02, Grand Building, Singapore 048695, Singapore",4,3,$$$
699,Bincho at Hua Bee,malay,1.283741,103.8304062,"78 Moh Guan Terrace, #01-19, Singapore 162078, Singapore",4,15,$$$
700,Big Street,malay,1.30619,103.85597,"104/106 Jalan Besar, Singapore 208828, Singapore",4,3,$$$
701,Shang Palace,malay,1.311153,103.826574,"22 Orange Grove Rd, Singapore 258350, Singapore",4.5,7,$$$
702,Beauty in the Pot,malay,1.301580063,103.8396018,"176 Orchard Rd, #05-15/16, Singapore 238843, Singapore",4,6,$$$
703,SushiAirways Sushibar,malay,1.30117,103.8597336,"20A Baghdad Street, Singapore 199659, Singapore",3.5,7,$$$
704,Sushi Jin,malay,1.31212,103.8541565,"1 Farrer Park Station Road, #01-11/12, Owen Link, Singapore 217562, Singapore",4,8,$$$
705,Ash & Elm,malay,1.29816,103.8548,"80 Middle Road, Level 1, Singapore 188966, Singapore",4,8,$$$
706,Sky Bar,malay,1.25019,103.8273087,"Resorts World Sentosa, L/11 Hotel Michael, 39 Artillery Ave, Singapore 099958, Singapore",4,1,$$$
707,Firebake,malay,1.307885083,103.907465,"237 East Coast Rd, Level 1, Singapore 428930, Singapore",3,4,$$$
708,Red House,malay,1.2903566,103.8394691,"60 Robertson Quay, #01-14, The Quayside, Singapore 238252, Singapore",4,30,$$$
779,8 Korean BBQ,korean,1.288706978,103.8466714,"6 Eu Tong Sen Street, #02-70/90, Singapore 059817, Singapore",4,23,$$$
780,Bigmama,korean,1.28527,103.829277,"2 Kim Tian Road, Singapore 169244, Singapore",4,17,$$$
781,Hansik Korean Restaurant,korean,1.358690114,103.8845953,"205 Hougang St 21, #02-00, Heartland Mall, Singapore 530205, Singapore",4,6,$$$
782,Seoul Yummy,korean,1.304247912,103.831891,"ION Orchard, 2 Orchard Turn, #B2-22, Singapore 238801, Singapore",4,2,$$$
783,Ju Shin Jung,korean,1.283221,103.780681,"27 West Coast Highway, #01-18/19, Singapore 117867, Singapore",4,5,$$$
784,Bornga,korean,1.264845,103.8224199,"VivoCity, 1 Harbourfront Avenue, #02-123/124,, Singapore 098585, Singapore",4,10,$$$
785,Crystal Jade Ginseng Chicken & BBQ,korean,1.302611879,103.8353471,"391 Orchard Road, #04-20 Ngee Ann City, Singapore 238872, Singapore",3.5,2,$$$
786,Todamgol,korean,1.27661,103.84406,"31 Tanjong Paga Rd, #01-01, Singapore 088454, Singapore",4,10,$$$
787,Kim's Family Food Korean Restaurant,korean,1.340850335,103.7741963,"17 Lor Kilat, Singapore 598139, Singapore",3.5,15,$$$
788,Han Kook Gwan,korean,1.27976287,103.8438084,"26 Tanjong Pagar Road, Singapore 088449, Singapore",4,1,$$$
789,Superstar K,korean,1.27882,103.8454208,"75 Tanjong Pagar Road, Singapore 088496, Singapore",4.5,14,$$$
790,Seorae Korean Charcoal BBQ - Plaza Singapura,korean,1.30048,103.84491,"68 Orchard Rd, #02-01, Singapore 238839, Singapore",3.5,4,$$$
791,Nanta BBQ,korean,1.31833,103.8437195,"175 Thomson Road, Singapore 307624, Singapore",4,1,$$$
792,Obba BBQ,korean,1.27818885,103.8439603,"63 Tanjong Pagar Road, Singapore 088484, Singapore",3,10,$$$
793,Yoogane,korean,1.3026201,103.8544006,"4 Rochor Road, #02-47/48, Bugis Junction, Singapore 181004, Singapore",3.5,5,$$$
